timestamp,doc_id,stage,batch_uuid,pages,images_extracted,images_sent_to_batch,images_downloaded,images_filtered_in,images_filtered_out,images_integrated,duration_seconds,status,notes
2025-10-16T19:06:04.830583,doc_116537,conversion,,3,,,,,,,6.23,success,
2025-10-16T19:06:18.714907,doc_116546,conversion,,4,,,,,,,13.86,success,
2025-10-16T19:07:22.138777,doc_116549,conversion,,33,,,,,,,63.40,success,
2025-10-16T19:08:18.609929,doc_116550,conversion,,29,,,,,,,56.45,success,
2025-10-16T19:09:21.142831,doc_116555,conversion,,41,,,,,,,62.51,success,
2025-10-16T19:10:19.890693,doc_116562,conversion,,36,,,,,,,53.58,success,
2025-10-16T19:11:09.052577,doc_116565,conversion,,30,,,,,,,49.14,success,
2025-10-16T19:12:13.666548,doc_116567,conversion,,37,,,,,,,64.59,success,
2025-10-16T19:12:29.580405,doc_116571,conversion,,9,,,,,,,15.90,success,
2025-10-16T19:12:45.728783,doc_116572,conversion,,9,,,,,,,16.13,success,
2025-10-16T19:14:31.913620,doc_116579,conversion,,66,,,,,,,106.15,success,
2025-10-16T19:14:50.231462,doc_116580,conversion,,11,,,,,,,18.30,success,
2025-10-16T19:16:33.684080,doc_116581,conversion,,69,,,,,,,103.42,success,
2025-10-16T19:18:13.455393,doc_116583,conversion,,62,,,,,,,99.73,success,
2025-10-16T19:19:59.906662,doc_116587,conversion,,66,,,,,,,106.41,success,
2025-10-16T19:21:40.900006,doc_116589,conversion,,68,,,,,,,100.96,success,
2025-10-16T19:23:24.285898,doc_116591,conversion,,70,,,,,,,103.35,success,
2025-10-16T19:24:31.322241,doc_116592,conversion,,41,,,,,,,67.01,success,
2025-10-16T19:24:52.913483,doc_116594,conversion,,8,,,,,,,21.58,success,
2025-10-16T19:25:52.219468,doc_116597,conversion,,40,,,,,,,59.24,success,
2025-10-16T19:25:56.616613,doc_116602,conversion,,1,,,,,,,4.39,success,
2025-10-16T19:27:00.733092,doc_116604,conversion,,42,,,,,,,64.09,success,
2025-10-16T19:28:09.084923,doc_116607,conversion,,50,,,,,,,68.33,success,
2025-10-16T19:28:19.912926,doc_116617,conversion,,3,,,,,,,10.82,success,
2025-10-16T19:29:33.856370,doc_116619,conversion,,57,,,,,,,73.93,success,
2025-10-16T19:29:48.815869,doc_116620,conversion,,3,,,,,,,14.94,success,
2025-10-16T19:30:01.580362,doc_116623,conversion,,3,,,,,,,12.76,success,
2025-10-16T19:30:10.022179,doc_116624,conversion,,6,,,,,,,8.44,success,
2025-10-16T19:31:38.126528,doc_116625,conversion,,58,,,,,,,88.08,success,
2025-10-16T19:33:21.816387,doc_116632,conversion,,59,,,,,,,103.52,success,
2025-10-16T19:35:02.912097,doc_116633,conversion,,64,,,,,,,101.06,success,
2025-10-16T19:35:15.381333,doc_116635,conversion,,8,,,,,,,12.45,success,
2025-10-16T19:35:23.044982,doc_116650,conversion,,4,,,,,,,7.66,success,
2025-10-16T19:35:30.487734,doc_116651,conversion,,4,,,,,,,7.43,success,
2025-10-16T19:36:46.227324,doc_116662,conversion,,54,,,,,,,75.72,success,
2025-10-16T19:37:39.697147,doc_116664,conversion,,37,,,,,,,53.45,success,
2025-10-16T19:37:48.525014,doc_116665,conversion,,5,,,,,,,8.82,success,
2025-10-16T19:37:59.814818,doc_116669,conversion,,2,,,,,,,11.27,success,
2025-10-16T19:38:10.443985,doc_116682,conversion,,2,,,,,,,10.61,success,
2025-10-16T19:38:46.526598,doc_116683,conversion,,31,,,,,,,36.05,success,
2025-10-16T19:40:29.624583,doc_116695,conversion,,74,,,,,,,103.07,success,
2025-10-16T19:40:34.132830,doc_116709,conversion,,1,,,,,,,4.50,success,
2025-10-16T19:40:38.588252,doc_116712,conversion,,1,,,,,,,4.45,success,
2025-10-16T19:41:54.633070,doc_116713,conversion,,47,,,,,,,76.03,success,
2025-10-16T19:41:59.042631,doc_116714,conversion,,1,,,,,,,4.40,success,
2025-10-16T19:50:08.065402,doc_116716,conversion,,225,,,,,,,476.49,success,
2025-10-16T19:50:12.562415,doc_116717,conversion,,1,,,,,,,4.47,success,
2025-10-16T19:51:51.705328,doc_116727,conversion,,44,,,,,,,99.12,success,
2025-10-16T19:53:17.018344,doc_116732,conversion,,54,,,,,,,85.29,success,
2025-10-16T19:55:41.410609,doc_116735,conversion,,65,,,,,,,144.37,success,
2025-10-16T19:56:40.088124,doc_116737,conversion,,34,,,,,,,58.66,success,
2025-10-16T20:02:55.802702,doc_116739,conversion,,227,,,,,,,363.21,success,
2025-10-16T20:06:16.445026,doc_116748,conversion,,36,,,,,,,200.61,success,
2025-10-16T20:06:23.553244,doc_116751,conversion,,3,,,,,,,7.10,success,
2025-10-16T20:14:39.236906,doc_116755,conversion,,336,,,,,,,485.41,success,
2025-10-16T20:14:46.892724,doc_116757,conversion,,4,,,,,,,7.63,success,
2025-10-16T20:14:59.773180,doc_116763,conversion,,8,,,,,,,12.85,success,
2025-10-16T20:15:12.194476,doc_116769,conversion,,9,,,,,,,12.40,success,
2025-10-16T20:15:18.803871,doc_116770,conversion,,3,,,,,,,6.60,success,
2025-10-16T20:15:32.273761,doc_116775,conversion,,9,,,,,,,13.44,success,
2025-10-16T20:17:47.534511,doc_116780,conversion,,88,,,,,,,134.82,success,
2025-10-16T20:17:58.431635,doc_116787,conversion,,2,,,,,,,10.88,success,
2025-10-16T20:18:07.217695,doc_116790,conversion,,5,,,,,,,8.10,success,
2025-10-16T20:25:10.610297,doc_116791,conversion,,88,,,,,,,423.01,success,
2025-10-16T20:25:17.057230,doc_116796,conversion,,3,,,,,,,6.42,success,
2025-10-16T20:26:27.966673,doc_116799,conversion,,46,,,,,,,70.87,success,
2025-10-16T20:27:50.819569,doc_116802,conversion,,57,,,,,,,82.75,success,
2025-10-16T20:27:58.054956,doc_116804,conversion,,4,,,,,,,7.22,success,
2025-10-16T20:29:01.733326,doc_116806,conversion,,39,,,,,,,63.64,success,
2025-10-16T20:30:11.084689,doc_116810,conversion,,45,,,,,,,69.30,success,
2025-10-16T20:30:17.918342,doc_116812,conversion,,4,,,,,,,6.82,success,
2025-10-16T20:30:22.935688,doc_116819,conversion,,2,,,,,,,5.01,success,
2025-10-16T20:31:08.411503,doc_116820,conversion,,30,,,,,,,45.46,success,
2025-10-16T20:31:14.748792,doc_116825,conversion,,2,,,,,,,6.33,success,
2025-10-16T20:31:58.259132,doc_116827,conversion,,28,,,,,,,43.50,success,
2025-10-16T20:32:02.586917,doc_116832,conversion,,1,,,,,,,4.32,success,
2025-10-16T20:32:14.643792,doc_116837,conversion,,3,,,,,,,12.03,success,
2025-10-16T20:33:26.980840,doc_116841,conversion,,41,,,,,,,72.31,success,
2025-10-16T20:34:24.305738,doc_116843,conversion,,40,,,,,,,57.30,success,
2025-10-16T20:34:34.341117,doc_116848,conversion,,2,,,,,,,10.03,success,
2025-10-16T20:35:39.767545,doc_116852,conversion,,34,,,,,,,65.41,success,
2025-10-16T20:35:48.793148,doc_116861,conversion,,3,,,,,,,9.01,success,
2025-10-16T20:36:49.616083,doc_116862,conversion,,39,,,,,,,60.80,success,
2025-10-16T20:36:55.781542,doc_116870,conversion,,3,,,,,,,6.16,success,
